nombre,domicilio,localidad,cp,longitud,latitud
COSTA SAMITA,AV. ARISTOBULO DEL VALLE 6378,SANTA FE,3000,-60.693987,-31.609763
DAMIANI,URQUIZA 3180,SANTA FE,3000,-60.7107239,-31.6377861
DONADIO,JAVIER DE LA ROSA 322,SANTA FE,3000,-60.66811189,-31.60440416
ESTERKIN,SAN JERONIMO 1995,SANTA FE,3000,-60.70975721,-31.65242302
FACINO,ESPAÑA 3170,SANTA FE,3000,-60.7001608,-31.6399445
FERRO,FRANCIA 2998,SANTA FE,3000,-60.71271837,-31.63972458
FINELLI,Las Heras 7304,SANTA FE,3000,-60.68730712,-31.60211287
FUCKSMANN,SAAVEDRA 3081,SANTA FE,3000,-60.71388,-31.638324
GABRIEL JAUREGUI,Echagüe 7254,SANTA FE,3000,-60.670513,-31.606359
GARCIA,RIVADAVIA 3193,SANTA FE,3000,-60.702277,-31.639541
GERMAN LOPEZ,Av. Gral. Paz 5201,SANTA FE,3000,-60.68756998,-31.62232927
GIMENEZ,URQUIZA 2332,SANTA FE,3000,-60.7134045,-31.6470905
GIULIONI,GOROSTIAGA 3038,SANTA FE,3000,-60.7021061,-31.6105244
GOMEZ,Avenida Ángel V. Peñaloza 6839,SANTA FE,3000,-60.7128638,-31.6011338
GOTTERO,SAN MARTIN 2699,SANTA FE,3000,-60.7060219,-31.64456598
IGNACIO AZANZA,Avenida López y Planes 3901,SANTA FE,3000,-60.714074,-31.629249
IMHOF,MARCIAL CANDIOTTI 2796,SANTA FE,3000,-60.6972001,-31.6435185
IMOBERDORF,Avenida Blas Parera 6751,SANTA FE,3000,-60.721929,-31.600063
IMVINKELRIED,LAVALLE 4201,SANTA FE,3000,-60.68836,-31.631791
JUNGES,GUEMES 3701,SANTA FE,3000,-60.68859458,-31.6365664
LABATH,Santiago del Estero 3142,SANTA FE,3000,-60.711063,-31.6362118
LEIVA,LA RIOJA 2511,SANTA FE,3000,-60.70568167,-31.64580605
LENCINAS,BALCARCE 2384,SANTA FE,3000,-60.70127609,-31.63732218
LILIANA MARTINEZ,BELGRANO 6503,SANTA FE,3000,-60.69062886,-31.60915905
LONG,ARISTOBULO DEL VALLE 4026,SANTA FE,3000,-60.70110879,-31.63084909
