nombre,domicilio,localidad,cp,longitud,latitud
PENOTTI,MENDOZA AV 7211,ROSARIO,2000,,
PATRIS,MONTEVIDEO 5602,ROSARIO,2000,-60.69962142,-32.94711237
PASCUAL,LAGOS OVIDIO AV 5692,ROSARIO,2000,-60.67618151,-33.00377895
PECCHIO,LAGOS OVIDIO AV 4601,ROSARIO,2000,-60.67347768,-32.99160443
PARLATORE,PARAGUAY 387,ROSARIO,2000,-60.64254326,-32.94066426
PERRONE,PELLEGRINI CARLOS AV 5315,ROSARIO,2000,,
PARQUE ESPAA,SALTA AV 1222,ROSARIO,2000,-60.63811415,-32.93912583
PESADO,SAN JUAN 1701,ROSARIO,2000,-60.64753,-32.9487139
PERDOMO,SAN LUIS 2492,ROSARIO,2000,-60.6579592,-32.94560292
PARRA,SARMIENTO DOMINGO FAUSTINO PRES 1637,ROSARIO,2000,,
PIERISTEI,SARMIENTO 3202,ROSARIO,2000,-60.645337,-32.9745015
PARIZZIA,WHEELWRIGHT AV 1475,ROSARIO,2000,-60.64124599,-32.93686733
PEDRETTI,ZUVIRIA 7202,ROSARIO,2000,-60.71860409,-32.93709574
QUIROS,IRURTIA 7476,ROSARIO,2000,-60.72115316,-32.96690996
RONCHI,3 DE FEBRERO 1283,ROSARIO,2000,-60.64233126,-32.95229899
ROTGER,FRANCIA AV 1173,ROSARIO,2000,-60.66682928,-32.94626644
ROLDAN,BALCARCE 162,ROSARIO,2000,-60.65007827,-32.93653666
RABITO,BERRINI FRANCISCO JOSE 2275,ROSARIO,2000,,
FARMACIA CRUZ DEL PORTAL,V mercante 431,ROSARIO,2000,-60.68442911,-32.90958275
HOSPITAL PROVINCIAL DEL CENTENARIO,urquiza 3101,ROSARIO,2000,-60.6647192,-32.9380541
FARMACIA PARQUE ESPAÑA,salta 1222,ROSARIO,2000,-60.6381211,-32.9390785
FARMACIA SANATORIO BRITANICO S A,paraguay 40,ROSARIO,2000,-60.641824,-32.936865
FARMACIA SINDICAL LUZ Y FUERZA DE ROSARIO,Entre rios 982,ROSARIO,2000,-60.64160965,-32.9482055
ASOCIACION EMPLEADOS DE COMERCIO DE ROSARIO,Corrientes 450,ROSARIO,2000,-60.6414338,-32.941624
FARMACIA MUTUAL AMUR,PRESIDENTE  ROCA 835,ROSARIO,2000,-60.6451751,-32.9456988
FARMACIA GEREMIA,Av. Gral. San Martín 2030,VILLA GOBERNADOR GALVEZ,2124,-60.62543392,-33.02498268
EMBON (SUC TUCUMAN 1902),Tucuman 1902,ROSARIO,2000,-60.6481582,-32.9397322
