nombre,domicilio,localidad,cp,longitud,latitud
FRANCISCO SELLARES,CALLE 13 396,AVELLANEDA,3561,-59.66008131,-29.11846986
MAREGA,CALLE 18 NRO. 998,AVELLANEDA,3561,-59.65572471,-29.12338334
MELGAREJO,CALLE 312 52,AVELLANEDA,3561,-59.65762226,-29.11089736
PIVIDORI,SAN MARTIN OESTE 298,AVELLANEDA,3561,,
VIANO,CALLE 9 NRO. 665,AVELLANEDA,3561,-59.65637471,-29.11663297
VICENTIN,SAN MARTIN 875,AVELLANEDA,3561,,
VITTI,CALLE 4 NO. 398,AVELLANEDA,3561,,
WILHELM,CALLE 21 NUMERO 74,AVELLANEDA,3561,-59.66468531,-29.1223535
ZUPEL,CALLE 7-ESQ.10,AVELLANEDA,3561,,
FARMACIA HOSPITAL CENTRAL DRA. OLGA STUCKY DE RIZZI,Bv. Hipolito Yrigoyen 1580,RECONQUISTA,3567,-59.65768754,-29.15176189
