nombre,domicilio,localidad,cp,longitud,latitud
COURVOISIER,SAN MARTIN 1499,ROMANG,3555,-59.75208742,-29.49873556
LOVATTO,AV. SAN MARTIN 1101,ALEJANDRA,3051,-59.82790841,-29.90971617
ENRIQUE KAENEL,9 DE JULIO 1105,ROMANG,3555,-59.75060919,-29.50079194
KAENEL,SAN MARTIN 1272,ROMANG,3555,-59.74989976,-29.49912096
RIBATTO,SAN MARTIN 999,ROMANG,3555,-59.74726409,-29.49960158
BARAGIOLA,GRAL. LOPEZ 1256,SAN JAVIER,3005,-59.93227556,-30.58006161
VILA,ALVEAR 2042,SAN JAVIER,3005,-59.92812282,-30.57970437
